0,2020-09-23,400-540,T,0.913,
0,2021-02-02,400-540,T,0.917,
0,2020-09-23,400-540,D,0.002,
0,2021-02-02,400-540,D,0.003,
0,2020-09-23,400-540,S,0.911,
0,2021-02-02,400-540,S,0.914,
0,2020-09-23,480-600,T,0.909,
0,2021-02-02,480-600,T,0.913,
0,2020-09-23,480-600,D,0.002,
0,2021-02-02,480-600,D,0.003,
0,2020-09-23,480-600,S,0.907,
0,2021-02-02,480-600,S,0.91,
0,2020-09-23,590-720,T,0.898,
0,2021-02-02,590-720,T,0.901,
0,2020-09-23,590-720,D,0.002,
0,2021-02-02,590-720,D,0.003,
0,2020-09-23,590-720,S,0.896,
0,2021-02-02,590-720,S,0.898,
0,2020-09-23,900-1100,T,0.895,
0,2021-02-02,900-1100,T,0.897,
0,2020-09-23,900-1100,D,0.003,
0,2021-02-02,900-1100,D,0.004,
0,2020-09-23,900-1100,S,0.892,
0,2021-02-02,900-1100,S,0.894,
1,,400-540,T,0.916,
1,,400-540,D,,
1,,400-540,S,,
1,,480-600,T,0.912,
1,,480-600,D,,
1,,480-600,S,,
1,,590-720,T,0.9,
1,,590-720,D,,
1,,590-720,S,,
1,,900-1100,T,0.894,
1,,900-1100,D,,
1,,900-1100,S,,